Ranking,University,Country
1,London Business School,United Kingdom
2,INSEAD,France
3,University of Cambridge,United Kingdom
4,University of Oxford,United Kingdom
5,London School of Economics and Political Science (LSE),United Kingdom
6,Bocconi University,Italy
7,Copenhagen Business School,Denmark
8,HEC Paris School of Management,France
9,"Rotterdam School of Management, Erasmus University",Netherlands
10,The University of Warwick,United Kingdom
11,The University of Manchester,United Kingdom
12,Imperial College London,United Kingdom
13,University of St. Gallen (HSG),Switzerland
14,WU (Vienna University of Economics and Business),Austria
15,Aalto University,Finland
16,BI Norwegian Business School,Norway
17,"City, University of London",United Kingdom
18,Granfield University,United Kingdom
19,La Salle Universitat Ramon Llull,Spain
20,ESSEC Business School,France
